season,race,horse_no,horse,jockey,trainer,class,track,location,actual_weight,draw,distance_m,win_odds,date
2020/2021,4,8,WINNING STEED,Z Purton,K H Ting,Class 4,TURF,Sha Tin,123,11,"""C"" Cours",5.3,2021-01-10
2020/2021,4,9,COUNTRY BOY,K Teetan,J Size,Class 4,TURF,Sha Tin,122,2,"""C"" Cours",17,2021-01-10
2020/2021,4,10,VECTOR,C Y Ho,A S Cruz,Class 4,TURF,Sha Tin,121,7,"""C"" Cours",20,2021-01-10
2020/2021,4,11,PEARL CHAMPION,A Hamelin,K L Man,Class 4,TURF,Sha Tin,120,3,"""C"" Cours",26,2021-01-10
2020/2021,4,12,THUNDER STOMP,H T Mo,Y S Tsui,Class 4,TURF,Sha Tin,119,13,"""C"" Cours",21,2021-01-10
2020/2021,4,13,GREEN ENVY,J Moreira,C Fownes,Class 4,TURF,Sha Tin,116,12,"""C"" Cours",5.6,2021-01-10
2020/2021,4,14,UNIVERSAL RECORD,C Wong,A T Millard,Class 4,TURF,Sha Tin,116,4,"""C"" Cours",58,2021-01-10
2020/2021,5,1,LIKE THAT,J Moreira,F C Lor,Class 4,TURF,Sha Tin,133,14,"""C"" Cours",3.6,2021-01-10
2020/2021,5,2,MOERAKI,C Schofield,C W Chang,Class 4,TURF,Sha Tin,132,12,"""C"" Cours",10,2021-01-10
2020/2021,5,3,CANTSTOPTHEFEELING,N Callan,K L Man,Class 4,TURF,Sha Tin,131,11,"""C"" Cours",28,2021-01-10
2020/2021,5,4,UNITED WE STAND,C Soumillon,C S Shum,Class 4,TURF,Sha Tin,130,2,"""C"" Cours",6.5,2021-01-10
2020/2021,5,5,AMAZING ROCKY,C L Chau,T P Yung,Class 4,TURF,Sha Tin,127,1,"""C"" Cours",7.8,2021-01-10
2020/2021,5,6,DECISIVE TWELVE,C Y Ho,W Y So,Class 4,TURF,Sha Tin,126,6,"""C"" Cours",9.7,2021-01-10
2020/2021,5,7,HOLYSHOWCASING,A Badel,D E Ferraris,Class 4,TURF,Sha Tin,125,7,"""C"" Cours",56,2021-01-10
2020/2021,5,8,STORMTROUPER,Z Purton,C H Yip,Class 4,TURF,Sha Tin,125,4,"""C"" Cours",11,2021-01-10
2020/2021,5,9,GOKO,A Hamelin,C H Yip,Class 4,TURF,Sha Tin,124,9,"""C"" Cours",23,2021-01-10
2020/2021,5,10,GRACYLOVE,K C Leung,D J Hall,Class 4,TURF,Sha Tin,124,13,"""C"" Cours",29,2021-01-10
2020/2021,5,11,SIGHT HERO,B Shinn,D A Hayes,Class 4,TURF,Sha Tin,124,3,"""C"" Cours",13,2021-01-10
2020/2021,5,12,CARRY THE DIAMOND,M Chadwick,R Gibson,Class 4,TURF,Sha Tin,120,8,"""C"" Cours",13,2021-01-10
2020/2021,5,13,HAPPY TANGO,K Teetan,Y S Tsui,Class 4,TURF,Sha Tin,117,10,"""C"" Cours",21,2021-01-10
2020/2021,5,14,NOBLE DESIRE,M F Poon,D J Whyte,Class 4,TURF,Sha Tin,114,5,"""C"" Cours",20,2021-01-10
2020/2021,6,1,ALL FOR ST PAUL'S,K C Leung,F C Lor,Class 4,TURF,Sha Tin,133,1,"""C"" Cours",4.6,2021-01-10
2020/2021,6,2,DECISIVE ACTION,Z Purton,C S Shum,Class 4,TURF,Sha Tin,131,2,"""C"" Cours",7.5,2021-01-10
2020/2021,6,3,LEADING FORTUNE,A Badel,J Size,Class 4,TURF,Sha Tin,131,8,"""C"" Cours",7.7,2021-01-10
2020/2021,6,4,CHEERFUL DAYS,J Moreira,K W Lui,Class 4,TURF,Sha Tin,130,10,"""C"" Cours",3.3,2021-01-10
2020/2021,6,5,LIGHT MY DAY,M Chadwick,C H Yip,Class 4,TURF,Sha Tin,128,12,"""C"" Cours",22,2021-01-10
2020/2021,6,6,PAKISTAN FRIEND,V Borges,W Y So,Class 4,TURF,Sha Tin,128,3,"""C"" Cours",58,2021-01-10
2020/2021,6,7,FAMILY LEADER,T Piccone,C Fownes,Class 4,TURF,Sha Tin,125,9,"""C"" Cours",22,2021-01-10
2020/2021,6,8,RAINBOW LIGHT,C L Chau,D J Whyte,Class 4,TURF,Sha Tin,125,13,"""C"" Cours",45,2021-01-10
2020/2021,6,9,RUN RUN GOOD,C Schofield,K L Man,Class 4,TURF,Sha Tin,123,7,"""C"" Cours",96,2021-01-10
2020/2021,6,10,STUNNING IMPACT,K Teetan,P O'Sullivan,Class 4,TURF,Sha Tin,123,11,"""C"" Cours",11,2021-01-10
2020/2021,6,11,JIMMU,M F Poon,Y S Tsui,Class 4,TURF,Sha Tin,119,4,"""C"" Cours",18,2021-01-10
2020/2021,6,12,BRAVE POWER,C Y Ho,A S Cruz,Class 4,TURF,Sha Tin,117,5,"""C"" Cours",8.7,2021-01-10
2020/2021,6,13,RED MAJESTY,C Wong,D A Hayes,Class 4,TURF,Sha Tin,117,6,"""C"" Cours",62,2021-01-10
2020/2021,6,14,APOLAR WARRIOR,M L Yeung,P F Yiu,Class 4,TURF,Sha Tin,116,14,"""C"" Cours",59,2021-01-10
2020/2021,7,1,CIRCUIT SIX,K C Leung,K L Man,Class 3,TURF,Sha Tin,133,12,"""C"" Cours",24,2021-01-10
2020/2021,7,2,PRIVATE ROCKET,C L Chau,D J Whyte,Class 3,TURF,Sha Tin,131,11,"""C"" Cours",18,2021-01-10
2020/2021,7,3,TORNADO TWIST,C Soumillon,F C Lor,Class 3,TURF,Sha Tin,131,4,"""C"" Cours",7.8,2021-01-10
2020/2021,7,4,SUNSET WATCH,K Teetan,K W Lui,Class 3,TURF,Sha Tin,130,3,"""C"" Cours",11,2021-01-10
2020/2021,7,5,CIRCUIT SEVEN,C Y Ho,A S Cruz,Class 3,TURF,Sha Tin,128,10,"""C"" Cours",66,2021-01-10
2020/2021,7,6,MERIDIAN GENIUS,C Schofield,A T Millard,Class 3,TURF,Sha Tin,128,6,"""C"" Cours",24,2021-01-10
2020/2021,7,7,YOUNG PASSION,M F Poon,D J Hall,Class 3,TURF,Sha Tin,127,1,"""C"" Cours",35,2021-01-10
2020/2021,7,8,KING'S CAPITAL,B Shinn,D A Hayes,Class 3,TURF,Sha Tin,123,7,"""C"" Cours",85,2021-01-10
2020/2021,7,9,PRESIDENT'S CHOICE,M Chadwick,C W Chang,Class 3,TURF,Sha Tin,120,8,"""C"" Cours",11,2021-01-10
2020/2021,7,10,JUST NOT LISTENING,M L Yeung,T P Yung,Class 3,TURF,Sha Tin,118,5,"""C"" Cours",77,2021-01-10
2020/2021,7,11,SIGHT SUCCESS,J Moreira,J Size,Class 3,TURF,Sha Tin,118,2,"""C"" Cours",1.4,2021-01-10
2020/2021,7,12,FARSHAD,A Hamelin,Y S Tsui,Class 3,TURF,Sha Tin,120,9,"""C"" Cours",52,2021-01-10
2020/2021,8,1,SILVER FIG,K Teetan,A T Millard,Class 3,ALL WEATHER TRACK,Sha Tin,133,6,1200,7.1,2021-01-10
2020/2021,8,2,HARMONY AND RICH,Z Purton,Y S Tsui,Class 3,ALL WEATHER TRACK,Sha Tin,128,10,1200,11,2021-01-10
2020/2021,8,3,GUNNAR,B Shinn,C Fownes,Class 3,ALL WEATHER TRACK,Sha Tin,123,3,1200,12,2021-01-10
2020/2021,8,4,EXCEED THE STARS,A Badel,C S Shum,Class 3,ALL WEATHER TRACK,Sha Tin,119,4,1200,12,2021-01-10
2020/2021,8,5,KEEP YOU WARM,C L Chau,K W Lui,Class 3,ALL WEATHER TRACK,Sha Tin,119,2,1200,5.5,2021-01-10
2020/2021,8,6,SUPER ALLIANCES,J Moreira,J Size,Class 3,ALL WEATHER TRACK,Sha Tin,118,1,1200,3.4,2021-01-10
2020/2021,8,7,SUPER POWER MAN,C Schofield,K L Man,Class 3,ALL WEATHER TRACK,Sha Tin,118,7,1200,8.7,2021-01-10
2020/2021,8,8,BLOTTING PAPER,M F Poon,R Gibson,Class 3,ALL WEATHER TRACK,Sha Tin,117,8,1200,24,2021-01-10
2020/2021,8,9,GOLFMAN STAR,K H Chan,F C Lor,Class 3,ALL WEATHER TRACK,Sha Tin,117,9,1200,15,2021-01-10
2020/2021,8,10,TAKE WHAT YOU NEED,A Hamelin,D J Whyte,Class 3,ALL WEATHER TRACK,Sha Tin,116,5,1200,15,2021-01-10
2020/2021,8,11,CALIFORNIA GUNGHO,M Chadwick,A S Cruz,Class 3,ALL WEATHER TRACK,Sha Tin,115,11,1200,21,2021-01-10
2020/2021,8,12,SO WE JOY,M L Yeung,D A Hayes,Class 3,ALL WEATHER TRACK,Sha Tin,115,12,1200,45,2021-01-10
2020/2021,9,1,SPLENDOUR AND GOLD,C Soumillon,C H Yip,Class 3,TURF,Sha Tin,132,8,"""C"" Cours",14,2021-01-10
2020/2021,9,2,KYRUS UNICORN,B Shinn,C W Chang,Class 3,TURF,Sha Tin,129,4,"""C"" Cours",11,2021-01-10
2020/2021,9,3,PERFECT TO GREAT,A Badel,C Fownes,Class 3,TURF,Sha Tin,126,11,"""C"" Cours",26,2021-01-10
2020/2021,9,4,SMOOTHIES,H T Mo,C S Shum,Class 3,TURF,Sha Tin,124,12,"""C"" Cours",22,2021-01-10
2020/2021,9,5,SUPER FOOTBALL,Z Purton,K H Ting,Class 3,TURF,Sha Tin,124,7,"""C"" Cours",2.7,2021-01-10
2020/2021,9,6,CHEVALIER PRINCE,J Moreira,F C Lor,Class 3,TURF,Sha Tin,121,3,"""C"" Cours",4.9,2021-01-10
2020/2021,9,7,SAVAQUIN,K Teetan,J Size,Class 3,TURF,Sha Tin,121,5,"""C"" Cours",7.9,2021-01-10
2020/2021,9,8,BEAUTY DAY,M F Poon,T P Yung,Class 3,TURF,Sha Tin,118,6,"""C"" Cours",17,2021-01-10
2020/2021,9,9,ENTRUSTED,A Hamelin,D J Whyte,Class 3,TURF,Sha Tin,118,2,"""C"" Cours",26,2021-01-10
2020/2021,9,10,A A AGILITY,C Wong,L Ho,Class 3,TURF,Sha Tin,117,14,"""C"" Cours",96,2021-01-10
2020/2021,9,11,CHATER PINS,M L Yeung,D A Hayes,Class 3,TURF,Sha Tin,116,1,"""C"" Cours",18,2021-01-10
2020/2021,9,12,CASIMIRO,V Borges,P O'Sullivan,Class 3,TURF,Sha Tin,115,10,"""C"" Cours",17,2021-01-10
2020/2021,9,13,EXCEPTIONAL NICE,M Chadwick,W Y So,Class 3,TURF,Sha Tin,115,9,"""C"" Cours",23,2021-01-10
2020/2021,9,14,TELECOM FIGHTERS,H W Lai,Y S Tsui,Class 3,TURF,Sha Tin,115,13,"""C"" Cours",43,2021-01-10
2020/2021,10,1,BAND OF BROTHERS,Z Purton,P O'Sullivan,Class 2,TURF,Sha Tin,133,9,"""C"" Cours",16,2021-01-10
2020/2021,10,2,EXCELLENT PROPOSAL,J Moreira,J Size,Class 2,TURF,Sha Tin,132,7,"""C"" Cours",3.8,2021-01-10
2020/2021,10,3,PRECIOUSSHIP,C L Chau,P F Yiu,Class 2,TURF,Sha Tin,132,11,"""C"" Cours",33,2021-01-10
2020/2021,10,4,NOT USUAL TALENT,T Piccone,T P Yung,Class 2,TURF,Sha Tin,127,1,"""C"" Cours",21,2021-01-10
2020/2021,10,5,ENRICH DELIGHT,C Soumillon,C Fownes,Class 2,TURF,Sha Tin,126,2,"""C"" Cours",3.9,2021-01-10
2020/2021,10,6,RUSSIAN EMPEROR,C Schofield,D J Whyte,Class 2,TURF,Sha Tin,123,8,"""C"" Cours",39,2021-01-10
2020/2021,10,7,AMAZING CHOCOLATE,V Borges,A T Millard,Class 2,TURF,Sha Tin,122,14,"""C"" Cours",28,2021-01-10
2020/2021,10,8,BEAUTY LEGACY,K Teetan,J Size,Class 2,TURF,Sha Tin,120,4,"""C"" Cours",22,2021-01-10
2020/2021,10,9,RACING FIGHTER,A Hamelin,C H Yip,Class 2,TURF,Sha Tin,120,12,"""C"" Cours",66,2021-01-10
2020/2021,10,10,WINNING METHOD,M Chadwick,C S Shum,Class 2,TURF,Sha Tin,120,13,"""C"" Cours",25,2021-01-10
2020/2021,10,11,LUCKY PATCH,M F Poon,K W Lui,Class 2,TURF,Sha Tin,117,3,"""C"" Cours",5.2,2021-01-10
2020/2021,10,12,BEAUTY JOY,A Badel,D A Hayes,Class 2,TURF,Sha Tin,116,5,"""C"" Cours",10,2021-01-10
2020/2021,10,13,BEAUTY SMILE,C Y Ho,A S Cruz,Class 2,TURF,Sha Tin,116,10,"""C"" Cours",13,2021-01-10
2020/2021,10,14,TSAR,K C Leung,Y S Tsui,Class 2,TURF,Sha Tin,116,6,"""C"" Cours",27,2021-01-10
